10.08.2021,42’083.1100
09.08.2021,42’616.6800
08.08.2021,40’121.5500
07.08.2021,40’800.5300
06.08.2021,39’183.0600
05.08.2021,37’059.1800
04.08.2021,36’057.9300
03.08.2021,34’486.2200
02.08.2021,35’509.9600
01.08.2021,36’319.3200
31.07.2021,37’792.3700
30.07.2021,38’085.6700
29.07.2021,36’269.2300
28.07.2021,36’414.3300
27.07.2021,35’950.9000
26.07.2021,34’243.7900
25.07.2021,32’458.3200
24.07.2021,31’518.2700
23.07.2021,30’856.0400
22.07.2021,29’696.5300
21.07.2021,29’466.2600
20.07.2021,27’448.5000
19.07.2021,28’344.0500
18.07.2021,29’235.3700
17.07.2021,29’022.9900
16.07.2021,28’940.7300
15.07.2021,29’072.0000
14.07.2021,30’011.1700
13.07.2021,30’031.9400
12.07.2021,30’338.8000
11.07.2021,31’303.9900
10.07.2021,30’654.5700
09.07.2021,30’976.0200
08.07.2021,30’052.4400
07.07.2021,31’323.2900
06.07.2021,31’595.7900
05.07.2021,31’181.9900
04.07.2021,32’540.4800
03.07.2021,31’921.3400
02.07.2021,31’210.8200
01.07.2021,31’058.4400
30.06.2021,32’403.4700
29.06.2021,33’062.7300
28.06.2021,31’656.3800
27.06.2021,31’717.4700
26.06.2021,29’300.7100
25.06.2021,29’062.4100
24.06.2021,31’780.1100
23.06.2021,30’879.0500
22.06.2021,29’806.6500
21.06.2021,29’024.9900
20.06.2021,32’904.7700
19.06.2021,32’812.3400
18.06.2021,32’914.5900
17.06.2021,34’938.2000
16.06.2021,34’832.6800
15.06.2021,36’144.3200
14.06.2021,36’393.4600
13.06.2021,35’114.0100
12.06.2021,31’924.9800
11.06.2021,33’442.6500
10.06.2021,32’856.4700
09.06.2021,33’406.9800
08.06.2021,29’985.6900
07.06.2021,30’091.7200
06.06.2021,32’199.5500
05.06.2021,31’973.4500
04.06.2021,33’209.0500
03.06.2021,35’362.5100
02.06.2021,33’765.5900
01.06.2021,32’873.3800
31.05.2021,33’517.8000
30.05.2021,32’084.2400
29.05.2021,31’114.2300
28.05.2021,32’099.6600
27.05.2021,34’506.6300
26.05.2021,35’236.5700
25.05.2021,34’268.0200
24.05.2021,34’662.5100
23.05.2021,31’314.9200
22.05.2021,33’718.7800
21.05.2021,33’403.6400
20.05.2021,36’505.2700
19.05.2021,33’725.7300
18.05.2021,38’595.6800
17.05.2021,39’281.0100
16.05.2021,41’885.3400
15.05.2021,42’229.0700
14.05.2021,45’023.2900
13.05.2021,45’046.0700
12.05.2021,45’832.0600
11.05.2021,51’280.6800
10.05.2021,50’301.1000
09.05.2021,52’448.0900
08.05.2021,52’943.1600
07.05.2021,51’718.9500
06.05.2021,51’196.1700
05.05.2021,52’339.4900
04.05.2021,48’669.1400
03.05.2021,52’150.9400
02.05.2021,51’680.4000
01.05.2021,52’775.0300
30.04.2021,52’753.3800
29.04.2021,48’695.2400
28.04.2021,49’808.5000
27.04.2021,50’278.3100
26.04.2021,49’432.2200
25.04.2021,44’833.6800
24.04.2021,45’817.6600
23.04.2021,46’707.6600
22.04.2021,47’523.5800
21.04.2021,49’383.4800
20.04.2021,51’712.8000
19.04.2021,50’982.2800
18.04.2021,51’847.3000
17.04.2021,55’456.6900
16.04.2021,56’681.8100
15.04.2021,58’325.2000
14.04.2021,57’997.1000
13.04.2021,58’547.3000
12.04.2021,55’209.9500
11.04.2021,55’531.0400
10.04.2021,55’236.4100
09.04.2021,53’750.1300
08.04.2021,53’600.1800
07.04.2021,52’214.5000
06.04.2021,54’086.8100
05.04.2021,55’059.2500
04.04.2021,54’914.1200
03.04.2021,53’880.4000
02.04.2021,55’621.3300
01.04.2021,55’351.8600
31.03.2021,55’398.5000
30.03.2021,55’311.3500
29.03.2021,54’121.0800
28.03.2021,52’379.5100
27.03.2021,52’431.7900
26.03.2021,51’620.4900
25.03.2021,48’403.3200
24.03.2021,49’099.5700
23.03.2021,50’948.9600
22.03.2021,50’127.1400
21.03.2021,53’437.8200
20.03.2021,54’046.3900
19.03.2021,54’060.0800
18.03.2021,53’522.8100
17.03.2021,54’218.3500
16.03.2021,52’475.7100
15.03.2021,51’800.5000
14.03.2021,55’137.1000
13.03.2021,56’953.7400
12.03.2021,53’284.2600
11.03.2021,53’420.5700
10.03.2021,52’062.9500
09.03.2021,50’874.5100
08.03.2021,48’936.1400
07.03.2021,47’706.0700
06.03.2021,45’520.8000
05.03.2021,45’550.0500
04.03.2021,45’107.6000
03.03.2021,46’500.5200
02.03.2021,44’239.9800
01.03.2021,45’415.3800
28.02.2021,40’936.4400
27.02.2021,41’930.4200
26.02.2021,42’122.9300
25.02.2021,42’702.6700
24.02.2021,45’022.5500
23.02.2021,44’191.3600
22.02.2021,48’584.8200
21.02.2021,51’492.5300
20.02.2021,50’275.9400
19.02.2021,50’139.0100
18.02.2021,46’337.8500
17.02.2021,46’878.6800
16.02.2021,43’942.4600
15.02.2021,42’671.1400
14.02.2021,43’490.4100
13.02.2021,42’045.0500
12.02.2021,42’409.6100
11.02.2021,42’619.8300
10.02.2021,40’028.3800
09.02.2021,41’581.9900
08.02.2021,41’651.6900
07.02.2021,35’011.5200
06.02.2021,35’369.7500
05.02.2021,34’345.5100
04.02.2021,33’415.2500
03.02.2021,33’766.2600
02.02.2021,31’916.4500
01.02.2021,30’088.1300
31.01.2021,29’531.4400
30.01.2021,30’566.1900
29.01.2021,30’610.1100
28.01.2021,29’586.3900
27.01.2021,27’026.1900
26.01.2021,28’882.8300
25.01.2021,28’745.9800
24.01.2021,28’582.0400
23.01.2021,28’382.9800
22.01.2021,29’176.5400
